task_id,phase,phase_name,domain_id,domain_name,meta_layer,task_type,source_targets,deliverable,status,priority
P2E-UN-TREATIES,2,Human rights humanitarian and development priority domains,15,Human Rights,"Society, Governance & Law",staging,"UN Treaty Collection chapters; OHCHR treaty body source pages","Staged UN treaty collection metadata for curator review",active,high
P3-IAEA,3,Environment climate and natural systems,31,Energy & Utilities,Technology & Infrastructure,ingestion,"IAEA Safety Standards catalogue; nuclear safety requirements and guides","Processed IAEA Safety Standards catalogue",active,high
P4-GRI-SASB,4,Finance trade and economic governance,26,"Sustainability, ESG & Circular Economy",Economy & Trade,ingestion,"GRI Standards; SASB Standards; ISSB sustainability standards","Processed sustainability reporting standards catalogue",active,high
P5-W3C,5,ICT digital AI and cybersecurity,28,Information & Communications Technology (ICT),Technology & Infrastructure,ingestion,"W3C Technical Reports; W3C Recommendations index","Processed W3C Recommendations catalogue",active,high
P5-NIST,5,ICT digital AI and cybersecurity,29,Cybersecurity & Data Privacy,Technology & Infrastructure,ingestion,"NIST CSRC publications; SP 800 series; FIPS; AI RMF","Processed NIST cybersecurity and AI standards metadata",active,critical
P5-ITU,5,ICT digital AI and cybersecurity,28,Information & Communications Technology (ICT),Technology & Infrastructure,ingestion,"ITU-T Recommendations; ITU-R Recommendations; Radio Regulations references","Processed ITU recommendations metadata",active,high
P5-ETSI,5,ICT digital AI and cybersecurity,28,Information & Communications Technology (ICT),Technology & Infrastructure,ingestion,"ETSI standards catalogue; harmonised ICT standards; 3GPP ETSI deliverables; NFV specifications","Processed ETSI priority standards metadata",active,high
P5-OASIS,5,ICT digital AI and cybersecurity,28,Information & Communications Technology (ICT),Technology & Infrastructure,ingestion,"OASIS standards catalogue; MQTT; SAML; OpenDocument; STIX; TAXII","Processed OASIS priority standards metadata",active,high
P5-ECMA,5,ICT digital AI and cybersecurity,28,Information & Communications Technology (ICT),Technology & Infrastructure,ingestion,"Ecma standards catalogue; ECMAScript; JSON","Processed Ecma priority standards metadata",active,high
P5-GS1,5,ICT digital AI and cybersecurity,25,Supply Chain & Logistics,Economy & Trade,ingestion,"GS1 standards catalogue; GS1 General Specifications; EPCIS; Digital Link","Processed GS1 priority standards metadata",active,high
P6-IEC,6,Transport energy manufacturing and built environment,9,Electrical & Electronics,Physical Sciences & Engineering,ingestion,"IEC webstore metadata; IEC freely available standards; IEC technical committees","Processed IEC electrotechnical standards metadata",active,critical
P6-CCSDS,6,Transport energy manufacturing and built environment,14,Space & Satellite,Physical Sciences & Engineering,ingestion,"CCSDS Blue Books; ECSS public standards; space debris guidance","Processed space and satellite standards metadata",active,high
P7-CULTURE,7,Society culture sports and specialised domains,21,"Culture, Heritage & Arts","Society, Governance & Law",curation,"UNESCO conventions; ICOMOS charters; ICOM Code; ICCROM resources","Curated culture and heritage standards catalogue",active,critical
P7-SPORTS,7,Society culture sports and specialised domains,22,Sports & Recreation,"Society, Governance & Law",curation,"WADA Code; IOC Olympic Charter; IFAB/FIFA rules; World Athletics; CAS rules","Curated sports and recreation standards catalogue",planned,critical
P8-NSB,8,National standards bodies comprehensive expansion,,,Program,domain-expansion,"176 ISO national standards bodies; ARSO; ASEAN; MENA; Pacific NSBs","National standards body register",active,critical
P9-QA,9,Verification publication and community launch,,,Program,quality,"URL verification; completeness review; duplicate detection; expert review; release tags","v1.0 quality launch checklist",active,critical
P9-HDX,9,Verification publication and community launch,,,Program,publication,"Humanitarian Data Exchange dataset submission; release download bundle","HDX publication package for humanitarian discovery",planned,high
P9-ZENODO,9,Verification publication and community launch,,,Program,publication,"GitHub release; Zenodo archival DOI; release notes","Citable Zenodo dataset release",planned,high
P19-GRAPH,19,Enhanced integration roadmap,,,Program,architecture,"Tabular canonical layer; graph layer; vector layer; GraphRAG query path","Hybrid data architecture plan",planned,high
P19-AUTOMATION,19,Enhanced integration roadmap,,,Program,automation,"Scheduled ISO deltas; Wikidata sync; ratification refresh; automated changelogs","Freshness automation plan",planned,high
P19-UX,19,Enhanced integration roadmap,,,Program,publication,"Faceted browsing; semantic search; API; accessibility; multilingual priorities","Enhanced publication roadmap",planned,high
P19-SEARCH,19,Enhanced integration roadmap,,,Program,publication,"Pagefind static search; fallback JSON search; domain filters; entry-level browsing","Searchable public standards browser",active,critical
